index,high,highTime,low,lowTime,high-low
837,144.0,1618412925.0,100.0,1618413770.0,44.0
839,99.0,1618413448.0,58.0,1618414006.0,41.0
841,50.0,1618414180.0,40.0,1618414441.0,10.0
843,50.0,1618414219.0,31.0,1618413403.0,19.0
845,74.0,1618414197.0,60.0,1618414155.0,14.0
847,179.0,1618412543.0,164.0,1618413557.0,15.0
849,129.0,1618414443.0,125.0,1618414374.0,4.0
851,292.0,1618414002.0,277.0,1618414426.0,15.0
853,214.0,1618414281.0,212.0,1618414394.0,2.0
855,533.0,1618414450.0,531.0,1618414390.0,2.0
857,379.0,1618414353.0,375.0,1618414113.0,4.0
859,1246.0,1618414347.0,1245.0,1618414429.0,1.0
861,925.0,1618414443.0,901.0,1618414405.0,24.0
863,21.0,1618414278.0,22.0,1618412789.0,-1.0
864,123.0,1618411305.0,80.0,1618411324.0,43.0
865,90.0,1618413519.0,51.0,1618413358.0,39.0
866,115.0,1618411877.0,94.0,1618413932.0,21.0
867,299.0,1618413598.0,299.0,1618414062.0,0.0
868,302.0,1618414086.0,302.0,1618414449.0,0.0
869,48.0,1618414049.0,47.0,1618413092.0,1.0
870,350.0,1618356453.0,900.0,1617291284.0,-550.0
871,1000.0,1618340097.0,326.0,1618335316.0,674.0
872,900.0,1618390606.0,900.0,1618390612.0,0.0
873,14.0,1618338773.0,473.0,1617610529.0,-459.0
874,400.0,1618340070.0,25.0,1618392839.0,375.0
875,497.0,1618286911.0,635.0,1618362418.0,-138.0
876,439.0,1618388294.0,340.0,1618407713.0,99.0
877,3.0,1618414414.0,3.0,1618413509.0,0.0
878,29.0,1618362390.0,2.0,1618362379.0,27.0
879,50.0,1618413913.0,30.0,1618413919.0,20.0
880,49.0,1618412673.0,49.0,1618412672.0,0.0
881,93.0,1618369402.0,93.0,1618364018.0,0.0
882,4.0,1618414315.0,4.0,1618413928.0,0.0
883,500.0,1618361177.0,66.0,1618361497.0,434.0
884,3.0,1618414393.0,3.0,1618414375.0,0.0
885,40.0,1618347524.0,60.0,1618350103.0,-20.0
886,10.0,1618414422.0,9.0,1618414196.0,1.0
887,47.0,1618347631.0,78.0,1618365479.0,-31.0
888,9.0,1618414413.0,9.0,1618414434.0,0.0
889,90.0,1618414038.0,182.0,1618242234.0,-92.0
890,25.0,1618414442.0,25.0,1618414445.0,0.0
891,109.0,1618409643.0,36.0,1618365862.0,73.0
892,37.0,1618414440.0,37.0,1618414446.0,0.0
893,148.0,1618413895.0,105.0,1618405800.0,43.0
946,69.0,1618414426.0,53.0,1618414369.0,16.0
948,120.0,1618414377.0,105.0,1618414222.0,15.0
950,13.0,1618414422.0,12.0,1618414199.0,1.0
952,160.0,1618414372.0,152.0,1618414329.0,8.0
954,30.0,1618414456.0,25.0,1618414190.0,5.0
958,37.0,1618413884.0,35.0,1618410322.0,2.0
960,171.0,1618414423.0,165.0,1618414439.0,6.0
962,8500.0,1618407654.0,8291.0,1618413926.0,209.0
970,160.0,1618414290.0,160.0,1618412975.0,0.0
973,168.0,1618414225.0,146.0,1618414198.0,22.0
975,700.0,1618414144.0,309.0,1618414245.0,391.0
981,19372.0,1618413798.0,19000.0,1618409006.0,372.0
983,290.0,1618414280.0,276.0,1618412257.0,14.0
985,10082.0,1618414392.0,10082.0,1618414458.0,0.0
987,10235.0,1618414181.0,10150.0,1618414431.0,85.0
989,20494.0,1618414425.0,20494.0,1618414458.0,0.0
991,2999.0,1618414368.0,2350.0,1618413994.0,649.0
993,36175.0,1618409116.0,33840.0,1618414408.0,2335.0
1005,75.0,1618414228.0,58.0,1618414220.0,17.0
1007,127.0,1618414284.0,120.0,1618414170.0,7.0
1009,132.0,1618375665.0,175.0,1618414095.0,-43.0
1011,108.0,1618412231.0,23.0,1618414109.0,85.0
1013,55.0,1618414310.0,50.0,1618412687.0,5.0
1015,38.0,1618402997.0,26.0,1618395513.0,12.0
1017,392.0,1618414324.0,300.0,1618414434.0,92.0
1019,481.0,1618414454.0,480.0,1618413474.0,1.0
1021,404.0,1618413623.0,251.0,1618414274.0,153.0
1023,320.0,1618412763.0,112.0,1618414188.0,208.0
1025,186.0,1618413501.0,177.0,1618413222.0,9.0
1027,808.0,1618414411.0,752.0,1618413561.0,56.0
1029,656.0,1618410388.0,1372.0,1618413795.0,-716.0
1031,816.0,1618407742.0,1327.0,1618413915.0,-511.0
1033,2500.0,1618414404.0,1731.0,1618414393.0,769.0
1035,692.0,1618414452.0,599.0,1618414418.0,93.0
1038,4000.0,1618409407.0,4000.0,1618414074.0,0.0
1040,3575.0,1618411907.0,2592.0,1618413997.0,983.0
1042,7028.0,1618408920.0,7000.0,1618412519.0,28.0
1044,3500.0,1618414071.0,3000.0,1618414369.0,500.0
1046,6900.0,1618409143.0,5787.0,1618412500.0,1113.0
1048,3888.0,1618403902.0,2419.0,1618412635.0,1469.0
1050,6217.0,1618412521.0,6173.0,1618412524.0,44.0
1053,5000.0,1618412607.0,2466.0,1618412844.0,2534.0
1055,3243.0,1618411161.0,2848.0,1618412327.0,395.0
1057,4200.0,1618409754.0,4246.0,1618414458.0,-46.0
1059,16.0,1618414404.0,20.0,1618414405.0,-4.0
1061,34.0,1618414319.0,52.0,1618414330.0,-18.0
